(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)
(0, 1, 2, 3, 5, 4, 7, 6, 9, 8, 11, 10)
(1, 0, 3, 2, 4, 5, 6, 7, 10, 11, 8, 9)
(1, 0, 3, 2, 5, 4, 7, 6, 11, 10, 9, 8)
(2, 3, 0, 1, 6, 7, 4, 5, 8, 9, 10, 11)
(2, 3, 0, 1, 7, 6, 5, 4, 9, 8, 11, 10)
(3, 2, 1, 0, 6, 7, 4, 5, 10, 11, 8, 9)
(3, 2, 1, 0, 7, 6, 5, 4, 11, 10, 9, 8)
(0, 2, 1, 3, 8, 9, 10, 11, 5, 4, 7, 6)
(0, 2, 1, 3, 9, 8, 11, 10, 4, 5, 6, 7)
(1, 3, 0, 2, 10, 11, 8, 9, 5, 4, 7, 6)
(1, 3, 0, 2, 11, 10, 9, 8, 4, 5, 6, 7)
(2, 0, 3, 1, 8, 9, 10, 11, 7, 6, 5, 4)
(2, 0, 3, 1, 9, 8, 11, 10, 6, 7, 4, 5)
(3, 1, 2, 0, 10, 11, 8, 9, 7, 6, 5, 4)
(3, 1, 2, 0, 11, 10, 9, 8, 6, 7, 4, 5)
(4, 5, 6, 7, 2, 3, 0, 1, 8, 10, 9, 11)
(4, 5, 6, 7, 3, 2, 1, 0, 10, 8, 11, 9)
(5, 4, 7, 6, 2, 3, 0, 1, 9, 11, 8, 10)
(5, 4, 7, 6, 3, 2, 1, 0, 11, 9, 10, 8)
(6, 7, 4, 5, 0, 1, 2, 3, 8, 10, 9, 11)
(6, 7, 4, 5, 1, 0, 3, 2, 10, 8, 11, 9)
(7, 6, 5, 4, 0, 1, 2, 3, 9, 11, 8, 10)
(7, 6, 5, 4, 1, 0, 3, 2, 11, 9, 10, 8)
(4, 6, 5, 7, 8, 10, 9, 11, 3, 2, 1, 0)
(4, 6, 5, 7, 10, 8, 11, 9, 2, 3, 0, 1)
(5, 7, 4, 6, 9, 11, 8, 10, 3, 2, 1, 0)
(5, 7, 4, 6, 11, 9, 10, 8, 2, 3, 0, 1)
(6, 4, 7, 5, 8, 10, 9, 11, 1, 0, 3, 2)
(6, 4, 7, 5, 10, 8, 11, 9, 0, 1, 2, 3)
(7, 5, 6, 4, 9, 11, 8, 10, 1, 0, 3, 2)
(7, 5, 6, 4, 11, 9, 10, 8, 0, 1, 2, 3)
(8, 9, 10, 11, 1, 3, 0, 2, 5, 7, 4, 6)
(8, 9, 10, 11, 3, 1, 2, 0, 7, 5, 6, 4)
(9, 8, 11, 10, 1, 3, 0, 2, 4, 6, 5, 7)
(9, 8, 11, 10, 3, 1, 2, 0, 6, 4, 7, 5)
(10, 11, 8, 9, 0, 2, 1, 3, 5, 7, 4, 6)
(10, 11, 8, 9, 2, 0, 3, 1, 7, 5, 6, 4)
(11, 10, 9, 8, 0, 2, 1, 3, 4, 6, 5, 7)
(11, 10, 9, 8, 2, 0, 3, 1, 6, 4, 7, 5)
(8, 10, 9, 11, 5, 7, 4, 6, 3, 1, 2, 0)
(8, 10, 9, 11, 7, 5, 6, 4, 1, 3, 0, 2)
(9, 11, 8, 10, 4, 6, 5, 7, 3, 1, 2, 0)
(9, 11, 8, 10, 6, 4, 7, 5, 1, 3, 0, 2)
(10, 8, 11, 9, 5, 7, 4, 6, 2, 0, 3, 1)
(10, 8, 11, 9, 7, 5, 6, 4, 0, 2, 1, 3)
(11, 9, 10, 8, 4, 6, 5, 7, 2, 0, 3, 1)
(11, 9, 10, 8, 6, 4, 7, 5, 0, 2, 1, 3)
